Region,iso_alpha,PRECTOTCORR_SUM,QV2M,RH2M,WD10M,WS10M,subspecies,sequence_ID
Gyeongsangnam,KOR,1282.656667,8.626667,77.313333,337.146667,3.336667,Vespa velutina nigrithorax,LC170006.1
Java,IDN,2596.346667,17.026667,85.083333,207.73,2.13,Vespa velutina velutina,LC170002.1
Kitakyushu,JPN,1722.766667,10.09,76.393333,337.916667,5.146667,Vespa velutina nigrithorax,LC170008.1
Bali,IDN,1512.99,16.986667,83.06,150.793333,2.203333,Vespa velutina velutina,LC170005.1
Kunming,CHN,837.763333,9.666667,70.163333,226.81,3.69,Vespa velutina auraria,LC169995.1
Lonbok,IDN,1342.073333,16.99,78.603333,146.46,1.99,Vespa velutina ardens,LC170003.1
Tsushima,JPN,1694.853333,10.413333,77.27,229.313333,6.343333,Vespa velutina nigrithorax,LC170007.1
Gangotri,IND,1223.506667,12.063333,61.686667,307.503333,2.903333,Vespa velutina auraria,LC169998.1
Sulawesi,IDN,1869.39,17.986667,80.996667,230.393333,3.686667,Vespa velutina celebensis,LC170004.1
CameronHighlands,MYS,2357.3,16.763333,86.856667,150.48,1.266667,Vespa velutina divergens,LC170009.1
Kunming,CHN,837.763333,9.666667,70.163333,226.81,3.69,Vespa velutina nigrithorax,LC170000.1
